Draft Amidships	0,000	0,120	0,240	0,360	0,480	0,600	0,720	0,840	0,960	1,080	1,200m											
Displacement t	0,0000	0,0257	0,0958	0,1991	0,3246	0,4611	0,5976	0,7231	0,8265	0,8965	0,9222
Heel deg	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Draft at FP m	0,000	0,120	0,240	0,360	0,480	0,600	0,720	0,840	0,960	1,080	1,200
Draft at AP m	0,000	0,120	0,240	0,360	0,480	0,600	0,720	0,840	0,960	1,080	1,200
Draft at LCF m	0,000	0,120	0,240	0,360	0,480	0,600	0,720	0,840	0,960	1,080	1,200
Trim (+ve by stern) m	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
WL Length m	0,000	0,720	0,958	1,098	1,174	1,200	1,174	1,098	0,958	0,720	0,000
Beam max extents on WL m	0,000	0,720	0,958	1,098	1,174	1,200	1,174	1,098	0,958	0,720	0,000
Wetted Area m^2	0,000	0,429	0,814	1,161	1,477	1,771	2,065	2,380	2,731	3,112	3,542
Waterpl. Area m^2	0,000	0,406	0,720	0,944	1,079	1,128	1,079	0,944	0,720	0,406	0,000
Prismatic coeff. (Cp)	0,000	0,594	0,607	0,621	0,640	0,664	0,702	0,761	0,869	1,135	292103,163
Block coeff. (Cb)	0,000	0,403	0,424	0,448	0,479	0,521	0,588	0,697	0,915	1,562	0,000
Max Sect. area coeff. (Cm)		0,678	0,698	0,720	0,748	0,784	0,837	0,916	1,053	1,376	
Waterpl. area coeff. (Cwp)	0,000	0,783	0,784	0,783	0,784	0,783	0,784	0,783	0,784	0,783	0,000
LCB from zero pt. (+ve fwd) m	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
LCF from zero pt. (+ve fwd) m	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
KB m	0,600	0,079	0,157	0,233	0,306	0,375	0,440	0,499	0,549	0,585	0,600
KG m	0,600	0,600	0,600	0,600	0,600	0,600	0,600	0,600	0,600	0,600	0,600
BMt m	0,000	0,523	0,440	0,365	0,293	0,225	0,159	0,101	0,051	0,015	0,000
BML m	0,000	0,523	0,443	0,365	0,293	0,225	0,159	0,101	0,051	0,015	0,000
GMt m	0,000	0,003	-0,003	-0,002	-0,002	0,000	-0,001	-0,001	0,000	0,000	0,000
GML m	0,000	0,003	0,000	-0,002	-0,001	0,000	-0,001	-0,001	0,000	0,000	0,000
KMt m	0,600	0,603	0,597	0,598	0,598	0,600	0,599	0,599	0,600	0,600	0,600
KML m	0,600	0,603	0,600	0,598	0,599	0,600	0,599	0,599	0,600	0,600	0,600
Immersion (TPc) tonne/cm	0,000	0,004	0,007	0,010	0,011	0,012	0,011	0,010	0,007	0,004	0,000
MTc tonne.m	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
RM at 1deg = GMt.Disp.sin(1) tonne.m	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Max deck inclination deg	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
Trim angle (+ve by stern) deg	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
